Institute,City,Degree,Program,Duration,Eligibility,Admission Test,Fee (PKR per semester),Fee Per Credit Hour (PKR),Program URL,Fee URL,Admission Deadline
University of Central Punjab,Lahore,PHD,PhD Microbiology,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-science-technology/programmes/doctoral/phd-microbiology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Biotechnology,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-science-technology/programmes/doctoral/phd-biotechnology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Biochemistry,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-science-technology/programmes/doctoral/phd-biochemistry/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Food Technology,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-science-technology/programmes/doctoral/phd-food-technology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Mathematics,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-sciences/programmes/postgraduate/phd-mathematic/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Pharmacy (Pharmacology),3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-pharmacy/programmes/postgraduate/phd-pharmacy-pharmacology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Pharmacy (Pharmaceutical Chemistry),3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-pharmacy/programmes/postgraduate/phd-pharmacy-pharmaceutical-chemistry/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Pharmaceutics,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-pharmacy/programmes/postgraduate/phd-pharmacy-pharmaceutics/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Film & Digital Media,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-media-and-mass-communication/programmes/postgraduate/ms-film-digital-media/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS (Advertising and Public Relations),2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-media-and-mass-communication/programmes/postgraduate/ms-advertising-and-public-relations/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Media And Communication,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-media-and-mass-communication/programmes/doctoral/phd-media-and-communication/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Chemistry,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-science-technology/programmes/doctoral/phd-chemistry/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Organizational Psychology,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-humanities-and-social-sciences/department-of-economics/programmes/postgraduate/ms-organizational-psychology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,M.Sc. Smart Grids Energy Systems,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-engineering/programmes-2/postgraduate/m-sc-smart-grids-energy-systems/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Food Safety & Quality Management,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-science-technology/programmes/postgraduate/ms-food-safety-quality-management/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Climate Change & Sustainable Development,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-science-technology/programmes/postgraduate/ms-climate-change-sustainable-development/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Human Nutrition and Dietetics,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-science-technology/programmes/postgraduate/ms-human-nutrition-dietetics/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
