Institute,City,Degree,Program,Duration,Eligibility,Admission Test,Fee URL,Program URL
University of the Punjab,Lahore,MS,BS Microbiology and Molecular Genetics (Evening) Institute of Zoology Degree Program Name Masters BS Zoology,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Pakistan Studies (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Persian (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Physical Education,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Physics,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Quality & Performance Management (QPM) (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Sociology,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Statistics,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Technology Education,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Tourism and Hospitality Management,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Urdu (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Zoology,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,M.Sc. (Engg,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,M.Sc. (Hons,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,M.Sc. (Hons) Agriculture (Soil Science) (Morning) Masters B,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,M.Sc. Applied Hydrology Masters BS Tourism and Hospitality Management,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
